author,date,description,tags,title
Juan Santos,July 2019,"Reading standards documents can be a dull task. But like in other fields, standards in Python play a big part. Python Enhancement Proposals (PEPs) are defined, improved, and eventually implemented by the community. They apply to mostly anything related to Python, from the more abstract and general to the more concrete and specific. Paying attention to them, and knowing which ones to read beforehand is a vital task that should take place prior to writing the first lines of code in a project.","Clean Code,Python Skills,Python general",PEP yourself: 10 PEPs you should pay attention to
Pierre Glaser,July 2019,"Parallel computing in Python: Current state and recent advances,---------------------------------------------------------------","Distributed Systems,Multi-Processing,Multi-Threading,Performance,Scientific Libraries (Numpy/Pandas/SciKit/...)",Parallel computing in Python: Current state and recent advances
Teresa Ingram,July 2019,"""Although people of all genders can experience violence and abuse online, the abuse experienced by women is often sexist or misogynistic in nature, and online threats of violence against women are often sexualized and include specific references to women’s bodies. "" - Amnesty International. This abuse pushes women offline, affecting their social well-being, representation and economic potential. ","Communication,Data Science,Open-Source,TDD,Web",Opt Out of Online Sexism – Open Source Activism
Ronan Lamy,July 2019,"PyPy is a fast and compliant implementation of Python. In other words, it's an interpreter for the Python language that can act as a full replacement for the reference interpreter, CPython. It's optimised to enable efficient just-in-time (JIT) compilation of Python code to machine code, and has releases matching versions 2.7, and 3.6. It now also supports the main pillars of the scientific ecosystem (numpy, Cython, scipy, pandas, ...) thanks to its emulation layer for the C API of CPython.","Compiler and Interpreters,PyPy",Opening PyPy's magic black box
Dmitry Figol,July 2019,"Do you deploy Python applications in Docker? Then this session is for you! ,We will start by reviewing a simple Dockerfile to package a Python application and move to more complex examples which speed up the build process and reduce the size of the resulting Docker image for both development and production builds.","Deployment/Continuous Integration and Delivery,Docker",Optimizing Docker builds for Python applications
Hubert Bryłkowski,July 2019,"Getting started with a natural language processing and neural networks is easier nowadays thanks to the numerous talks and tutorials. The goal is to dive deeper for those who already know the basics, or want to expand their knowledge in a machine learning field. ,The talk will start with the common use cases that can be generalized to the specific problems in a NLP world. Then I will present an overview of possible features that we can use as input to our network, and show that even simple feature engineering can change our results.,Furthermore, I will compare different network architectures - starting with the fully connected networks, through convolution neural networks to recursive neural networks. I will not only considering the good parts, but also - what is usually overlooked - pitfalls of every solution. ,All of these  will be done considering number of parameters, which transfers into training and prediction costs and time. I will also share a number of “tricks” that enables getting the best results even out of the simple architectures, as these are usually the fastest and quite often hard to beat, at the same time being the easiest to interpret.","Data Science,Deep Learning,Machine-Learning,Natural Language Processing",Natural language processing with neural networks.
Lennart Regebro,July 2019,"Next year Python 2 is no longer maintained. But you have a monster code base with clever tricks and libraries that don't support Python 2, and your data may be stored in a format that is hard to move Python 3. And that's the easy bit.","Deployment/Continuous Integration and Delivery,Management,Python 3,Testing",Moving big projects to Python 3
Jovan Veljanoski,July 2019,"Working with datasets comprising millions or billions of samples is an increasingly common task, one that is typically tackled with distributed computing. Nodes in high-performance computing clusters have enough RAM to run intensive and well-tested data analysis workflows. More often than not, however, this is preceded by the scientific process of cleaning, filtering, grouping, and other transformations of the data, through continuous visualizations and correlation analysis. In today’s work environments, many data scientists prefer to do this on their laptops or workstations, as to more effectively use their time and not to rely on spotty internet connection to access their remote data and computation resources. Modern laptops have sufficiently fast I/O SSD storage, but upgrading RAM is expensive or impossible.","Algorithms,Big Data,Data Science,Machine-Learning,python",Modern Data Science with Vaex: A new approach to DataFrames and pipelines
Peter Bittner,July 2019,"Deployment automation, cloud platforms, containerization, short iterations to develop and release software—we’ve progressed a lot. And finally it’s official: Kubernetes and OpenShift are the established platforms to help us do scaling and zero downtime deployments with just a few hundred lines of YAML. It’s a great time.","Agile,Best Practice,Clean Code,Deployment/Continuous Integration and Delivery",Modern Continuous Delivery for Python Developers
Hynek Schlawack,July 2019,"PyPI is a gold mine of great packages but those packages have to be written first. More often than not, projects that millions of people depend on are written and maintained by only one person. If you’re unlucky, that person is you!","Best Practice,Open-Source",Maintaining a Python Project When It’s Not Your Job
Gael Varoquaux,July 2019,"According to industry surveys [1], the number one hassle of data scientists is cleaning the data to analyze it. Textbook statistical modeling is sufficient for noisy signals, but errors of a discrete nature break standard tools of machine learning. I will discuss how to easily run machine learning on data tables with two common dirty-data problems: missing values and non-normalized entries. On both problems, I will show how to run standard machine-learning tools such as scikit-learn in the presence of such errors. The talk will be didactic and will discuss simple software solutions. It will build on the latest improvements to scikit-learn for missing values and the DirtyCat package [2] for non normalized entries. I will also summarize theoretical analyses in recent machine learning publications. ","Big Data,Data,Data Science,Machine-Learning,Scientific Libraries (Numpy/Pandas/SciKit/...)",Machine learning on non curated data
Miguel Grinberg,July 2019,"In this talk I'm going to live code a web application that is built exclusively on top of WebSocket, without using HTTP at all!","ASYNC / Concurreny,Web Protocols,Web Servers and MicroFWs (Flask/Tornado/Nginx/...)","Look Ma, No HTTP!"
Christoph Heer,July 2019,"Python's Global Interpreter Lock is a friend and rival at the same time. We, as developers, can focus on the design and implementation of applications without the hassle of memory management. On the other side, we complain about the GIL as the limiting factor of performance sensitive applications. Therefore, it is common to refactor parts of systems when the system doesn't perform or scale enough anymore. The refactoring often includes the switch of the used concurrency paradigms like replacing multithreading with multiprocessing or asyncio. Another option is moving logic of CPU-bound workload into C extensions or a full rewrite in a ""GIL-free"" language. But how do you know that the GIL is the actual performance bottleneck?","ASYNC / Concurreny,Multi-Threading,Performance,Scaling,Tooling","Is it me, or the GIL?"
Joe Drumgoole,July 2019,"This talk will give anyone who has a basic knowledge of Python insight into how,easy it is to build database applications using the PyMongo Python library for MongoDB. There will be live coding!",python,Introduction to Python and MongoDB
Christian Heimes,July 2019,"Python has built-in tracing and profiling facilities in form of callback hooks in the sys module. The settrace and setprofile callbacks have several drawbacks. They slow down the Python interpreter considerable and only allow tracing of Python code. Modern OS and CPUs come with a variety of APIs for efficient and low-level tracing down to system calls, Kernel space code, and hardware events. Some tools even create code that runs in Kernel space.","CPython,DevOps general,Performance",Introduction to low-level profiling and tracing
Ivana Kellyerova,July 2019,"It's often said that Python comes with batteries included, meaning that the standard library can do basically anything except for maybe conjure bacon for you (though I heard that's coming in 3.8). I don't think we fully appreciate the sheer vastness of it, though, so I went through it module by module looking for hidden gems (sorry, eggs). This is a by no means exhaustive compilation of the useful, the underrated, and the funny.","CPython,Python general,The Answer to Life the Universe and Everything Else",import bacon 🥓
Emmanuelle Gouillart,July 2019,"Images are an ubiquitous form of data in various fields of science and,industry. Images often need to be transformed and processed, for example for helping medical diagnosis by extracting regions of interest or measures, or for building training sets for machine learning. ","Computer Vision,Data Science,Image Processing,JavaScript Web Frameworks (AngularJS/ReactJS/...),Scientific Libraries (Numpy/Pandas/SciKit/...)",Image processing with scikit-image and Dash
Alexys Jacob,July 2019,"In this talk I would like to share the workflow and tools we use to build, deploy and operate GraphQL APIs on our on-premise Kubernetes cluster.","APIs,Best Practice,Case Study,Docker,Infrastructure",How we run GraphQL APIs in production on our Kubernetes cluster
Antonio Cuni,July 2019,"Real-world JIT compilers like PyPy and Numba are complex and advanced. However, the basic ideas behind JIT compilers are easy to understand, as this talk aim to show.","Compiler and Interpreters,Development,TDD",How to write a JIT compiler in 30 minutes
Rogier van der Geer,July 2019,"Neural networks are everywhere nowadays. But while it seems everyone is using them, training your first neural network can be quite a hurdle to overcome.","Deep Learning,Fun and Humor,Image Processing,Machine-Learning,Scientific Libraries (Numpy/Pandas/SciKit/...)",How to train an image classifier using PyTorch
Wojciech Rząsa,July 2019,"HTTP or asynchronous communication in microservices? This question is frequently repeated and discussed. Obviously, HTTP-based communication is easier for developers and architects. Even if your developers have no prior experience with microservices, they will probably understand how to implement an HTTP service well. While asynchronous communication has a lot of advantages that allow to design and implement really robust microservices system, they also bring new challenges not so obvious for people who didn’t have a chance to work with such an environment before.","ASYNC / Concurreny,Communication,Distributed Systems",From HTTP to Kafka-based microservices
Leonardo Rochael Almeida,July 2019,"Object Relational Mappers (ORMs) are awesome enhancers of developer productivity. The freedom of having the library write that SQL and give you back a useful, rich model instance (or a bunch of them) instead of just a tuple or a list of records is simply amazing.","Debugging,Performance,SQL Alchemy,python","From days to minutes, from minutes to milliseconds with SQLAlchemy"
Dimiter Naydenov,July 2019,"Portable Document Format (PDF) is commonly used to produce, publish, exchange, and,archive business and academic documents alike. Often in such PDFs there are tables,with data that you want to extract and process in some automated fashion. Unlike HTML,or other formats, PDF has no concept of tables as rows and columns with related data.","Computer Vision,Image Processing,Natural Language Processing,Scientific Libraries (Numpy/Pandas/SciKit/...),Web Servers and MicroFWs (Flask/Tornado/Nginx/...)",Extracting Tabular Data from PDFs with Camelot and Excalibur
Alexander CS Hendorf,July 2019,"Artificial intelligence promises great value. The technology is mostly understood only by few, yet still unexplainable even for experts.,In this talk I'll present how to narrow the hype down to real value explainable to everyone in your organisation - without the math.","Analytics,Business,Deep Learning,Management",Explaining AI to Managers 👨‍💼🤖👩‍💼
Mario Corchero,July 2019,"Did you know there are multiple ways to raise and capture exceptions? Have you ever wondered if you should raise a built-in exception or create your own hierarchy? Did you ever find it hard to understand what an exception meant?,This talk will go through the decisions needed to raise and capture exceptions when creating a library. We will look at how to translate and handle errors, create your own exceptions, and make exceptions clear and easy to troubleshoot, while also understanding how they actually work, common pitfalls.","Best Practice,Development,General,Python 3,Python Skills",Exceptional Exceptions
"Mikhail Bushkov,Max Vogler",July 2019,GRR Rapid Response (https://github.com/google/grr) is an incident response framework focused on remote live forensics.,"Databases,Deployment/Continuous Integration and Delivery,Development,Open-Source,Security","Evolving a helper script into a 180,000-lines-of-Python-code project"
Trapsilo Bumi,July 2019,Angklung is a traditional musical instrument from Indonesia. This instrument has a lot of variety in how it is performed; a common format is the orchestral format in which 15-30 players gather to form a team. Playing Angklung in this way is fun but also presents some challenges that are hard to solve manually.,"Algorithms,Analytics,Beginners,Case Study,Use Case",Enhancing Angklung Music Rehearsals with Python
James Saryerwinnie,July 2019,"You've been given a task.  You need to download some files from a server to your local machine.   The files are fairly small, and you can list and access these files from the remote server through a REST API.  You'd like to download them as fast as possible.  The catch?  There's a billion of them.  Yes, one billion files.","ASYNC / Concurreny,Case Study,Multi-Processing,Multi-Threading,Performance",Downloading a Billion Files in Python
Tiago Montes,July 2019,"In this talk I reframe a computer programming workshop for kids I delivered earlier this year, exploring and sharing my experience throughout that journey, from preparation to delivery, by recreating a simple yet engaging enough game.","Best Practice,Education,Learning,Life,Python Skills",Don't do this at work
Jan Wagner,July 2019,My talk aims to introduce and have a closer look on the Docker SDK for Python. ,"Deployment/Continuous Integration and Delivery,DevOps general,Docker,Testing,Virtualization",Docker meets Python - A look on the Docker SDK for Python
Cheuk Ho,July 2019,"The diversity statement quoted as follows: “The Python Software Foundation and the global Python community welcome and encourage participation by everyone. Our community is based on mutual respect, tolerance, and encouragement, and we are working to help each other live up to these principles. We want our community to be more diverse: whoever you are, and whatever your background, we welcome you.”","Community,Conferences and Meet-Ups,Data Science,Static Analysis",Do we have a diversity problem in Python community?
Grzegorz Kocjan,July 2019,"What you do when you start a new project? Usually, we begin with database design, then we prepare a migration system, user registration, and all different stuff that distracts us from doing what is most important - business logic. With the clean architecture, we can learn how to start a project in another way and this will be one of two main topics of my talk. The second one will be about new features in Python. You probably heard about typings, mypy, and dataclasses, but I will show you how they can be used in real life project that can be developed over many years in production lifecycle. There will be no ""hello world"" app, no copy & paste of documentation, only practical knowledge learned through many years of practice.","APIs,Abstractions,Architecture,Best Practice,Clean Code",Don't start with a database
Peter Entschev,July 2019,"The search for faster computing remains of great importance to the software community. Relatively inexpensive modern hardware, such as GPUs, allows users to run highly parallel code on thousands, or even millions of cores on distributed systems.","Big Data,Data Science,Distributed Systems,GPU,Scientific Libraries (Numpy/Pandas/SciKit/...)","Distributed Multi-GPU Computing with Dask, CuPy and RAPIDS"
Paolo Galeone,July 2019,"AutoGraph is one of the most exciting new features of Tensorflow 2.0: it allows transforming a subset of Python syntax into its portable, high-performance and language agnostic graph representation bridging the gap between Tensorflow 1.x and the 2.0 release based on eager execution.","Data-Structures,Machine-Learning,New Features,Software Design",Dissecting tf.function to discover AutoGraph strengths and subtleties
Jeff Hollan,July 2019,"Bringing your Python scripts or apps and running them in the cloud is easier than ever with serverless computing. In this talk, we’ll show how you can use Azure Functions to easily deploy and scale your Python workloads without having to manage any servers or pay for unused compute resources. We’ll also show how deep integration with Visual Studio Code offers a great local development experience with full support for debugging and testing your app, and allows you to seamlessly deploy your serverless code to the cloud.","APIs,Development,Microservices,Scaling,Tooling",Deploy Python to the cloud faster with Azure Serverless
Holger Krekel,July 2019,"Delta Chat, a new approach to decentralized messaging, uses Python in several ways. Delta Chat is a Whatsapp/Telegram-style messenger app  which uses the existing e-mail server network instead of central servers. There is no address book upload, and no necessity to tie accounts to mobile numbers. We'll live-demo how ""Chat over E-mail"" works, with random audience members, in real-time. ","Development,Python general,Rust,Sensors,System Administration","Delta Chat, CFFI, pytest and all the Rust"
Brad Miro,July 2019,"Learn about the updates being made to TensorFlow in its 2.0 version. We’ll give an overview of what’s available in the new version as well as do a deep dive into an example using its central high-level API, Keras. You’ll walk away with a better understanding of how you can get started building machine learning models in Python with TensorFlow 2.0 as well as the other exciting available features!","Data Science,Deep Learning,Machine-Learning,Scientific Libraries (Numpy/Pandas/SciKit/...)",Deep Learning with TensorFlow 2.0
Dom Weldon,July 2019,"Your data science or machine learning project probably won't just produce a written report. Instead, projects are increasingly expected to produce interactive tools to allow end-users to explore data and results with rich, interactive visualizations. Inevitably, this will be done in a web browser, meaning you'll need to add a quantitatively trained web developer to your team, or have your data scientists spend time learning HTML, Javascript and CSS. Dash, a project by the team that makes Plotly, solves some of these problems by allowing data scientists to build rich and interactive websites in pure python, with minimal knowledge of HTML and absolutely no Javascript. ","Data Science,JavaScript,Visualization,Web,Web Servers and MicroFWs (Flask/Tornado/Nginx/...)",Dash: Interactive Data Visualization Web Apps with no Javascript
Peter Sperl,July 2019,"Two years ago, we began migrating from a proprietary service framework to a WSGI-compliant one. We chose uWSGI as our host because of its performance and feature set. But, while powerful, uWSGI's defaults are driven by backward compatibility and are not ideal for new deployments. Powerful features can be overlooked due to the sheer magnitude of its feature set and spotty documentation. As we've scaled up the number of services hosted by uWSGI over the last year, we've had to tweak our standard configuration.","Best Practice,Distributed Systems,Microservices,Web Servers and MicroFWs (Flask/Tornado/Nginx/...),failures/mistakes",Configuring uWSGI for Production: The defaults are all wrong
Łukasz Kąkol,July 2019,"Code review is not just boring duty. It's mutual responsibility for the software we're releasing. It's one of the most critical aspects of code quality, and therefore it's the first step of quality assurance. This is also the key to easier programming and better maintainability. Clean code is much easier to debug, and it's much harder to introduce a bug in such code.,When you think about code review, you probably think about verifying and examining the code. Reviewing the expert's code may look like a waste of time because he knows what he's doing. Reviewing the code by a beginner may look like a waste of time because he's not able to find as many defects as an experienced developer. Code review is a code quality tool in the first place, but it's also much beyond that. You can teach or help someone, learn from somebody and much more both from the position of reviewer and reviewee.,There is much more about the real power of code review which I want to share with you.,This talk is also about how to do it the right way and how to not do it based on lessons learned and my experience within the diverse teams of people with a variety of knowledge and experience. I was reviewing the code but, on the other hand, I was also being reviewed. I'd like to pass my observations to people who are reviewing the code both in commercial and open source projects for a while. This talk is also for those who want to start to review the code, but they do not know how to do it.","Best Practice,Clean Code,Code Analysis,Development,Programming",Code review for Beginners and Experts: Tips & Tricks
Radosław Ganczarek,July 2019,"Four years ago I talked about code quality during EuroPython in Bilbao. A lot of things changed from that time. Firstly, most tools I presented were still developed and gained new features, but also new ones appeared I wanted to discuss with you. Secondly, Python changed, Python 3 has type hints on board and there is a new tool dedicated to checking the types. Thirdly - I changed. I'm more distanced form my zealous approach from four years ago. I got real and reasonable. That's why I wanted to talk about code quality tools in Python again.,I'll talk about all the software that can make code review a bit simpler by pointing out possible errors, duplicates or unused code. I'll talk again about formatters and how can they be used in modern-time projects. And I'll talk about hobgoblins, if you know what I mean :)","Best Practice,Code Analysis,Python 3,Tooling,Type-Hinting",Code quality in Python
Nemanja Milosevic,July 2019,"Convolutional neural networks have been used for some time now for classification of images, among other things. Recently, some new research leads us to believe that neural network can be ""tricked"" into wrongly classifying images by adding noise or other artifacts to them. If we want to use Deep Convolutional models in critical scenarios (i.e. self driving cars) we have to be certain that these models that we are using will be certain and robust.","Data,Data Science,Deep Learning,Generative Adversarial Networks,Machine-Learning",Classification Based on Missing Features in Deep Convolutional Neural Networks
Florian Wahl,July 2019,"In this session, we will report about a forklift hailing application we built using MicroPython and the ESP32-based prototyping hardware M5Stack. ,In a production facility, machine operators can hail a forklift using an ESP32 device running MicroPython. The device sends a request to a forklift dispatcher software, written in Python. The request is queued and subsequently, the next available forklift is notified and sent to the machine. Each forklift is also fitted with an ESP32 device. In this project, the prototyping hardware M5Stack was used. It features an ESP32 micro controller with Bluetooth, WIFI, GPIO, three buttons, and a display.","Cross-Platform-Development,DIY,Hardware/IoT,Internet of Things (IoT),MicroPython",Building Industry 4.0 logistics applications with MicroPython and ESP32 MCUs
Paul Hughes,July 2019,This is a case study that documents how a small data science team in a big bank took on the challenge to transform a fragmented sales process into a data-driven one using Python and machine learning. ,"Business Cases,Data Science,Machine-Learning,Scientific Libraries (Numpy/Pandas/SciKit/...),Windows",Building Data-Driven Client Relationship Management in Banking with Python
Nar Kumar Chhantyal,July 2019,"This talk will focus on how one can build complex data pipelines in Python. I will introduce Luigi and show how it solves problems while running multiple chain of batch jobs like dependency resolution, workflow management, visualisation, failure handling etc.","Architecture,Big Data,Data,Distributed Systems,Scaling",Building Data Workflows with Luigi and Kubernetes
Katherine Kampf,July 2019,"Ever wondered what breed that dog or cat is? Let’s build a pet detector service to recognize them in pictures! In this talk, we will walk through the training, optimizing, and deploying of a deep learning model using Azure Notebooks. We will use transfer learning to retrain a MobileNet model using TensorFlow to recognize dog and cat breeds using the Oxford IIIT Pet Dataset. Next, we’ll optimize the model and tune our hyperparameters to improve the model accuracy. Finally, we will deploy the model as a web service in. Come to learn how you can quickly create accurate image recognition models with a few simple techniques!","Data,Data Science,Deep Learning,Jupyter,Machine-Learning",Building a Powerful Pet Detector in Notebooks
Mustafa Anil Tuncel,July 2019,"Reproducibility of research is a common issue in science, especially in computationally expensive research fields e.g. cancer research.,A comprehensive picture of the genomic aberrations that occur during tumour progression and the resulting intra-tumour heterogeneity, is essential for personalised and precise cancer therapies. With the change in the tumour environment under treatment, heterogeneity allows the tumour additional ways to evolve resistance, such that intra-tumour genomic diversity is a cause of relapse and treatment failure.  Earlier bulk sequencing technologies were incapable of determining the diversity in the tumour.  ,Single-cell DNA sequencing - a recent sequencing technology - offers resolution down to the level of individual cells and is playing an increasingly important role in this field. ,We present a reproducible and scalable Python data analysis pipeline that employs a statistical model and an MCMC algorithm to infer the evolutionary history of copy number alterations of a tumour from single cells. The pipeline is built using Python, Conda environment management system and the Snakemake workflow management system. The pipeline starts from the raw sequencing files and a settings file for parameter configurations. After running the data analysis, pipeline produces report and figures to inform the treatment decision of the cancer patient.","Algorithms,Analytics,C-Languages,Command-Line,Data Science",Bioinformatics pipeline for revealing tumour heterogeneity
Andrei Neagu,July 2019,"Have you ever found yourself in a situation where you:,- had to use WbSockets?,- had to to create a separate project and had the issue of interfacing both?,- had to handle disconnections?,- had to handle reconnections?,- had to handle all the above and scale WebSockets?","Mobile,System Architecture,Web,Web Protocols,Web Servers and MicroFWs (Flask/Tornado/Nginx/...)","Better WebSockets - Server-Sent Events, a carefree alternative"
Paul Ganssle,July 2019,"When your Python needs to be fast, one powerful tool is the ability to write compiled extension modules. Normally this is done using the C API, but that requires managing reference counts and memory allocation and is nearly impossible to do *correctly* for non-trivial programs. In this talk, we'll look at how you can write extension modules in Rust - a memory-safe systems programming language that is increasingly popular as a replacement for C and C++, and the [most loved language in the Stack Overflow developer survey 4 years running](https://insights.stackoverflow.com/survey/2019#technology-_-most-loved-dreaded-and-wanted-languages).","All Other Programming Languages,C-Languages,Rust",Build your Python Extensions with Rust!
Franziska Oschmann,July 2019,"Within the last 20 years machine learning (ML) experienced a boost in its impact on our daily lives. With the help of supervised and unsupervised methods tasks like computer vision, recognition of speech or text have been revolutionized. Due to this high impact of ML ongoing research focuses on the constant improvement of these methods. ,However, ML is not exclusively the subject of research, but can also be used as a tool for the investigation of research questions. For example, ML is used to uncover hidden patterns in experimental data not detectable with neither the human eye nor standard statistical methods or to train machines so that they can take over repetitive tasks like object recognition. The increasing usage of ML in research is also due to Python libraries such as keras or scikit-learn. These libraries have simplified the handling of ML methods and thus paved the way for the application of these methods in many different research fields.,This talk is intended to present examples for current applications of ML in research. These use cases deal with the automatic recognition of single neurons throughout a stack of histological images or the prediction of human arm movements based on EEG signals. Based on these use cases an overview of Python-based techniques for data preparation and data analysis applying different techniques ranging from standard ML methods to state-of-the-art implementations of deep neural networks will be given.","Case Study,Data Science,Deep Learning,Machine-Learning",Boosting research with machine learning.
Michal Wysokinski,July 2019,"My team has been running AsyncIO in production for over 2 years now and the only thing I can say about my experience with it is: ""Oh boy, what a rollercoaster of feelings"". I've experienced laughs and tears, sweat and blood but also sang songs of glory. AsyncIO is currently the biggest buzzword in the Python world advertised as a silver bullet capable of solving all Python's shortcomings in the field of performance. However, it also brings a burden of being a completely new approach with a fresh implementation which is not often mentioned and taken into consideration. In some of my team's projects we've achieved a great success thanks to AsyncIO, but there's been a few where we decided to get rid of it and replace it with a more traditional fork-join architecture. I'd like to share my experience with AsyncIO, tell some War Stories and discuss which projects it suits perfectly and which ones should avoid it.","ASYNC / Concurreny,Debugging,Python 3,Use Case",AsyncIO in production - War Stories
Sven-Hendrik Haase,July 2019,There are many modern terminal tools with vastly improved user experiences as compared to their traditional alternatives. This talk aims to show off some of those modern terminal tools and compare them side by side with the traditional ones.,"Command-Line,Linux,System Administration,Tooling,Unix",Become a command line wizard
"Christian Heimes,Steve Dower",July 2019,"The Python Enhancement Proposal 551 describes the concept of security transparency for the CPython runtime environment. The PEP lists planned actions to detect anomalous or malicious use of Python and potentially prevent some abuse cases. The general idea is to make Python less useful for advanced persistent threats (APT). Python 3.8 will come with an implementation of PEP 578, auditing hooks and verified open call for reading code from files.","CPython,Security",Auditing hooks and security transparency for CPython
Jon Nordby,July 2019,"Sound is a rich source of information about the world around us.,Modern deep learning approaches can give human-like performance on a range of sound classifiction tasks.,This makes it possible to build systems that use sound to for example:,understand speech, to analyze music, to assist in medical diagnostics, detect quality problems in manufacturing, and to study the behavior of animals.","Data Science,Deep Learning,Machine-Learning",Audio Classification with Machine Learning
Danny Engelbarts,July 2019,The goal of this talk is to show the audience a different way of thinking about and developing regex statements. ,"Compiler and Interpreters,Mind Bending,Programming,Python Skills,Tooling",And now for something completely different.
Ben Nuttall,July 2019,A collaboration between the Raspberry Pi Foundation and the European Space Agency put two Raspberry Pi computers augmented with sensor boards and camera modules on the International Space Station in 2015. Every year we run a series of competitions for kids in schools around Europe to design science experiments using the available sensors.,"Data,Education,Linux,OpenCV,Raspberry PI",Astro Pi: Python on the International Space Station
Raphael Pierzina,July 2019,"There are many reasons why I think pytest is a fantastic test framework: assertion introspection, setup and teardown with fixtures, parametrized tests. But plugins are the real game changer!","Test Libraries (pytest/nose/...),Testing,python",Advanced pytest
Lynn Root,July 2019,"By building a simplified chaos monkey service, we will walk through how to create a good foundation for an asyncio-based service, including graceful shutdowns, proper exception handling, and testing asynchronous code. We’ll get into the hairier topics as well, covering topics like working with synchronous code, debugging and profiling, and working with threaded code. We’ll learn how to approach asynchronous and concurrent programming with Python’s asyncio library, take away some best practices, and learn what pitfalls to avoid.","ASYNC / Concurreny,Best Practice,Development",Advanced asyncio: Solving Real-world Production Problems
Victor Stinner,July 2019,"Python Performance: Past, Present and Future",python,"Python Performance: Past, Present and Future"
Miroslav Šedivý,July 2019,"On the last Sunday of October you may get “one more hour of sleep” but as well may spend much more time debugging code dealing with the time zones, daylight saving time shifts and datetime stuff in general.","Best Practice,Community,Python general,The Answer to Life the Universe and Everything Else,failures/mistakes",A Day Has Only 24±1 Hours
Yenny Cheung,July 2019,"Fear of public speaking is the most common of all phobias. Want to speak confidently in front of the crowd? This talk shares tips on how to overcome the fear, and ways to get started. You will be prepared to brace presenting from a team meeting to a conference.",Community,Why You Should Pursue Public Speaking and How to Get There
Shailen Sobhee,July 2019,"Learn about Intel® Deep Learning Boost, also known as Vector Neural Network Instructions (VNNI), a new set of AVX-512 instructions, that are designed to deliver significantly more efficient Deep Learning (Inference) acceleration. Through this technology, I will show you how you can perform low-precision (INT8) inference much faster on hardware that support the VNNI instruction set (for example, the 2nd generation Intel Xeon Scalable processors, codenamed, Cascade Lake). In the live Jupyter notebook session, you can will be able to see the benefits of this new hardware technology. ","Data Science,Deep Learning,Performance,python",Accelerate your Deep Learning Inferencing with the Intel® DL Boost technology
Lynn Cherny,July 2019,"Most of us work too much and play too little.  When was the last time you smiled at something you made?  Playing with fun datasets, especially big data sets, opens up weird new forms of technical recreation.  Why not train an amusing model in a browser tab while you're waiting for that day-job Spark query to finish?  I'll show you some data toys I've built using AI and interesting data sets: Most of them involve both backend data science and front-end visualization tricks.  They range from poetry-composition helpers to game log analysis to image deconstruction and reconstruction. All of them taught me something, often about myself and what I like artistically, and sometimes about what ""big data"" actually means.","Big Data,Deep Learning,Visualization",Getting Your Data Joie De Vivre Back!
Athina Frantzana,July 2019,"This study is the first attempt to understand the current gender demographics of the HPC community, and identify potential reasons and ways to tackle the gender imbalance. By listening to the people who constitute the community, the study offers a guideline on what the HPC community should focus on in order to become more attractive, accessible and useful to everyone.",Diversity,Are women underrepresented in the High Performance Computing (HPC) community?
